Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,567.4118,0,0,165.2271,185.7082,2.340697,0,0,0,0,0,0,89.9999,89.9999,0,0
0.01,B,0.01,0.01,0,0.6798307,0,1360.324,567.4118,0,0,165.201,185.7082,2.343674,44.9605586,44.9605586,0.000134625,0.4496056,0.4496056,1.34625E-06,89.9999,89.9999,0.002248028,6.73126E-09
0.02,B,0.02,0.01,0,0.6798307,0,2706.153,567.3804,5.97275E-05,0,165.175,185.7082,2.346651,121.2817073,121.2817073,0.000267831,1.662423,1.662423,4.02456E-06,89.9999,89.9999,0.01280817,3.35853E-08
0.03,B,0.03,0.01,0,0.6798308,0,2707.059,567.2861,0.00081657,0,165.1489,185.7082,2.349628,121.3585459,121.3585459,0.000267965,2.876009,2.876009,6.70421E-06,89.9999,89.9999,0.03550033,8.72292E-08
0.04,B,0.04,0.01,0,0.6798309,0,2707.965,567.1604,0.002443942,0,165.1229,185.7082,2.352606,121.4439155,121.4439155,0.000268114,4.090448,4.090448,9.38535E-06,89.9999,89.9999,0.07033262,1.67677E-07
0.05,B,0.05,0.01,0,0.679831,0,2708.872,567.0347,0.004943696,0,165.0968,185.7082,2.355583,121.5292596,121.5292596,0.000268263,5.30574,5.30574,1.2068E-05,89.9999,89.9999,0.1173135,2.74944E-07
0.05999999,B,0.05999999,0.01,0,0.6798311,0,2709.778,566.9089,0.008317665,0,165.0708,185.7082,2.35856,121.6146225,121.6146225,0.000268412,6.521886,6.521886,1.47521E-05,89.9999,89.9999,0.1764517,4.09044E-07
0.06999999,B,0.06999999,0.01,0,0.6798313,0,2710.685,566.7831,0.01256768,0,165.0447,185.7082,2.361537,121.6999603,121.6999603,0.000268561,7.738885,7.738885,1.74377E-05,89.9999,89.9999,0.2477555,5.69993E-07
0.07999999,B,0.07999999,0.01,0,0.6798316,0,2711.581,566.6572,0.01769559,0,165.0187,185.7082,2.364515,121.7847615,121.7847615,0.000268709,8.956733,8.956733,2.01248E-05,89.9999,89.9999,0.3312336,7.57805E-07
0.08999999,B,0.08999999,0.01,0,0.6798318,0,2712.478,566.5313,0.02370317,0,164.9926,185.7082,2.367492,121.8695671,121.8695671,0.000268857,10.17543,10.17543,2.28134E-05,89.9999,89.9999,0.4268944,9.72496E-07
0.09999999,B,0.09999999,0.01,0,0.6798322,0,2713.375,566.4053,0.03059228,0,164.9666,185.7082,2.370469,121.9543909,121.9543909,0.000269005,11.39497,11.39497,2.55034E-05,89.9999,89.9999,0.5347464,1.21408E-06
0.11,B,0.11,0.01,0,0.6798325,0,2714.272,566.2794,0.03836468,0,164.9405,185.7082,2.373446,122.0392022,122.0392022,0.000269153,12.61536,12.61536,2.81949E-05,89.9999,89.9999,0.654798,1.48257E-06
0.12,B,0.12,0.01097637,0,0.6707734,0,2715.169,566.1533,0.04639562,0,164.9145,185.7082,2.376424,122.1240533,122.1240533,0.000269301,13.8366,13.8366,3.0888E-05,89.9999,89.9999,0.7870578,1.77799E-06
0.13,B,0.13,0.01203895,0,0.6614989,0,2716.056,566.0272,0.05504122,0,164.8884,185.7082,2.379401,122.2083556,122.2083556,0.000269448,15.05868,15.05868,3.35824E-05,89.9999,89.9999,0.9315342,2.10034E-06
0.14,B,0.14,0.01310226,0,0.652802,0,2716.943,565.9011,0.06433592,0,164.8624,185.7082,2.382378,122.2926718,122.2926718,0.000269595,16.28161,16.28161,3.62784E-05,89.9999,89.9999,1.088236,2.44964E-06
0.15,B,0.15,0.01416632,0,0.6446447,0,2717.831,565.775,0.07426967,0,164.8363,185.7082,2.385355,122.3770061,122.3770061,0.000269742,17.50538,17.50538,3.89758E-05,89.9999,89.9999,1.257171,2.82591E-06
0.16,B,0.16,0.01523111,0,0.636985,0,2718.718,565.6487,0.08483335,0,164.8103,185.7082,2.388333,122.4613866,122.4613866,0.00026989,18.72999,18.72999,4.16747E-05,89.9999,89.9999,1.438347,3.22917E-06
0.17,B,0.17,0.01629663,0,0.6297812,0,2719.606,565.5225,0.09601892,0,164.7842,185.7082,2.39131,122.5457556,122.5457556,0.000270037,19.95545,19.95545,4.43751E-05,89.9999,89.9999,1.631775,3.65941E-06
0.18,B,0.18,0.01736289,0,0.622994,0,2720.483,565.3962,0.1078193,0,164.7582,185.7082,2.394287,122.6295744,122.6295744,0.000270183,21.18175,21.18175,4.70769E-05,89.9999,89.9999,1.837461,4.11667E-06
0.19,B,0.19,0.01842988,0,0.6165872,0,2721.361,565.2699,0.1202279,0,164.7321,185.7082,2.397264,122.7134273,122.7134273,0.00027033,22.40888,22.40888,4.97802E-05,89.9999,89.9999,2.055414,4.60096E-06
0.2,B,0.2,0.0194976,0,0.6105279,0,2722.239,565.1436,0.1332387,0,164.7061,185.7082,2.400242,122.7972967,122.7972967,0.000270476,23.63685,23.63685,5.2485E-05,89.9999,89.9999,2.285642,5.11229E-06
0.21,B,0.21,0.02056605,0,0.6047864,0,2723.117,565.0172,0.1468462,0,164.68,185.7082,2.403219,122.8811726,122.8811726,0.000270622,24.86566,24.86566,5.51912E-05,89.9999,89.9999,2.528155,5.65067E-06
0.22,B,0.22,0.02163524,0,0.5993363,0,2723.995,564.8907,0.1610457,0,164.654,185.7082,2.406196,122.9650831,122.9650831,0.000270769,26.09531,26.09531,5.78989E-05,89.9999,89.9999,2.78296,6.21612E-06
0.23,B,0.23,0.02270516,0,0.5941538,0,2724.863,564.7642,0.1758325,0,164.6279,185.7082,2.409173,123.0484274,123.0484274,0.000270914,27.32579,27.32579,6.0608E-05,89.9999,89.9999,3.050065,6.80865E-06
