t,Mach Number,cg (in),cp (in)
0.0,0.0,160.97317343975863,182.5959202800431
0.01,0.0004105869648200895,160.9663338921175,182.5970718887154
0.02,0.0014977874403488763,160.95430610785485,182.60011754672297
0.03,0.002585320167529228,160.94060990205887,182.60315872975164
0.04,0.003673900770408263,160.92690271055537,182.60619740120262
0.05,0.0047632168983002526,160.9131854399905,182.60923264829884
0.06,0.005853271302209034,160.89945669101616,182.61226444006695
0.07,0.006944114376644143,160.88571765285764,182.61529287755084
0.08,0.0080357259743069,160.87196804971464,182.61831786538858
0.09,0.009128101027768242,160.85820724337285,182.62133935022734
0.1,0.010221239416554407,160.84443635471513,182.62435729239235
0.11,0.011315141020206646,160.83065421226888,182.62737165214224
0.12,0.012409805718266222,160.81686155396054,182.63038238967394
0.13,0.013505233390274388,160.8030585604433,182.6333894651235
0.14,0.014601423915772398,160.7892441321272,182.636392838571
0.15,0.015698377174301507,160.77541961854647,182.6393924700422
0.16,0.01679609304540297,160.7615840903705,182.64238831951175
0.17,0.01789457140861805,160.7477378056715,182.64538034690756
0.18,0.018993812143487998,160.73388143001202,182.64836851211192
0.19,0.020093815129554066,160.72001337407232,182.65135277496591
0.2,0.02119458024635752,160.70613523022774,182.65433309527225
0.21,0.022296107373439605,160.6922463253306,182.657309432798
0.22,0.023398396387096024,160.6783464094948,182.66028174726895
0.23,0.024501446514775427,160.66443640407078,182.66324999663863
0.24,0.025605255555061743,160.65051497348313,182.66621413501483
0.25,0.026709821116084432,160.63658319553622,182.66917411602063
0.26,0.02781514080597295,160.62264092420492,182.67212989331082
0.27,0.02892121223285675,160.60868737399355,182.6750814205756
0.28,0.030028033004865295,160.59472373205207,182.67802865154601
0.29,0.031135600730128034,160.58074894171895,182.68097153999557
0.3,0.03224391301677443,160.56676352734635,182.6839100397463
0.31,0.033352967472933946,160.55276790115886,182.68684410467057
0.32,0.03446276170673603,160.5387607148538,182.68977368869656
0.33,0.03557329332631015,160.52474343499165,182.69269874581119
0.34,0.036684559939785755,160.51071529728716,182.6956192300646
0.35000000000000003,0.0377965591552923,160.49667624569406,182.69853509557336
0.36,0.03890928858095924,160.48262709935008,182.7014462965244
0.37,0.0400227459507697,160.4685664549481,182.7043527875082
0.38,0.0411369332622326,160.4544955372985,182.70725453428068
0.39,0.04225185771263928,160.4404140659075,182.7101515160701
0.4,0.04336752681470244,160.42632137784068,182.71304371277543
0.41000000000000003,0.04448394808113477,160.4122185937049,182.71593110414256
0.42,0.04560112902464895,160.39810462440064,182.71881366976618
0.43,0.04671907715795767,160.3839800706463,182.721691389091
0.44,0.04783779999377365,160.369845280577,182.72456424141183
0.45,0.04895730504480954,160.3556989583382,182.72743220587643
0.46,0.05007759982377806,160.3415425390342,182.73029526148505
0.47000000000000003,0.05119869184339189,160.32737526065196,182.73315338709315
0.48,0.05232058861862607,160.3131970740387,182.73600656141724
0.49,0.0534432914040177,160.29900878966635,182.73885474716832
0.5,0.05456657075926257,160.28480902909465,182.74169732400384
0.51,0.05569039109163953,160.27059897881702,182.7445341661589
0.52,0.05681499232934798,160.2563784085249,182.7473658417314
0.53,0.057940340823480596,160.24214659387508,182.75019222655666
0.54,0.05906640424028267,160.22790468098955,182.75301320068823
0.55,0.060193196110947415,160.21365163944014,182.75582875954254
0.56,0.06132071861363997,160.19938796396826,182.75863887000816
0.5700000000000001,0.06244897074795979,160.1851141202907,182.76144349110962
0.58,0.06357795151350633,160.17082868401687,182.76424258198097
0.59,0.06470765990987905,160.15653314935938,182.76703610187187
0.6,0.0658380949366774,160.14222684619332,182.76982401014968
0.61,0.06696925559350084,160.12790955290478,182.7726062663029
0.62,0.0681011408799488,160.1135821610491,182.77538282994433
0.63,0.06923374979562076,160.09924340585437,182.77815366081515
0.64,0.07036708134011616,160.08489425777262,182.7809187187877
0.65,0.07150113451303444,160.0705347137283,182.7836779638685
0.66,0.07263590831397508,160.05616381161306,182.78643135620257
0.67,0.07377140174253752,160.04178281131337,182.78917885607527
0.68,0.0749076137983212,160.0273908283741,182.7919204239169
0.6900000000000001,0.0760445434809256,160.01298807683634,182.794656020305
0.7000000000000001,0.0771821897960945,159.99857522724957,182.79738560598304
0.71,0.07832055183924337,159.98415081371644,182.80010914206215
0.72,0.0794596287736765,159.96971621592425,182.80282658996978
0.73,0.08059941976437979,159.95527102822652,182.80553791129338
0.74,0.08173992397633918,159.94081468483537,182.80824306777896
0.75,0.08288114057454059,159.9263482443156,182.8109420213346
0.76,0.08402306872396996,159.9118706405434,182.81363473403337
0.77,0.08516570758961321,159.89738245785315,182.8163211681162
0.78,0.08630905633645627,159.88288408979463,182.81900128599483
0.79,0.08745311412948507,159.86837416780125,182.82167505025478
0.8,0.08859788013368555,159.85385414993956,182.82434242365954
0.81,0.08974335351404363,159.83932338119638,182.82700336915056
0.8200000000000001,0.09088953343554523,159.82478162785938,182.8296578498536
0.8300000000000001,0.09203641906317629,159.81022977931732,182.8323058290788
0.84,0.09318400956192273,159.79566661958083,182.8349472703253
0.85,0.09433230409664055,159.7810930396338,182.83758213728294
0.86,0.09548130180609217,159.76650913262068,182.84021039377566
0.87,0.09663100177152219,159.75191382455952,182.84283200369438
0.88,0.09778140306650002,159.73730842310246,182.8454469311135
0.89,0.09893250476459506,159.7226921419058,182.84805514031333
0.9,0.10008430593937673,159.7080650168098,182.8506565957807
0.91,0.10123680566441443,159.69342779931097,182.85325126221267
0.92,0.10239000301327758,159.67877915449702,182.85583910451908
0.93,0.10354389705953558,159.66412021808023,182.85842008782484
0.9400000000000001,0.10469848687675785,159.64945084446288,182.86099417747258
0.9500000000000001,0.10585377153851382,159.63477019284832,182.86356133902513
0.96,0.10700975011837284,159.62007945119626,182.86612153826817
0.97,0.10816642168990438,159.60537773221267,182.86867474121237
0.98,0.10932378532667783,159.59066528049422,182.87122091409594
0.99,0.11048184010226259,159.57594274006547,182.87376002338698
1.0,0.11164058509022809,159.5612086871699,182.8762920357857
1.01,0.11280001936674737,159.5464644420554,182.87881691823247
1.02,0.11396014202709404,159.53170968031532,182.88133463794557
1.03,0.11512095217504725,159.51694373467052,182.88384516240018
