t,Mach Number,cg (in),cp (in)
0,1.278821964,113.0145773,185.5647696
0.01,1.278299459,113.0145773,185.5717972
0.02,1.277777086,113.0145773,185.5788211
0.03,1.277254936,113.0145773,185.58584
0.04,1.276733065,113.0145773,185.592853
0.05,1.276211519,113.0145773,185.5998594
0.06,1.275690344,113.0145773,185.6068585
0.07,1.275169555,113.0145773,185.6138502
0.08,1.274649142,113.0145773,185.6208343
0.09,1.27412909,113.0145773,185.6278111
0.1,1.273609389,113.0145773,185.6347806
0.11,1.273090039,113.0145773,185.6417427
0.12,1.272571042,113.0145773,185.6486973
0.13,1.2720524,113.0145773,185.6556444
0.14,1.271534113,113.0145773,185.6625838
0.15,1.271016182,113.0145773,185.6695154
0.16,1.270498605,113.0145773,185.6764392
0.17,1.269981381,113.0145773,185.6833552
0.18,1.26946451,113.0145773,185.6902632
0.19,1.26894799,113.0145773,185.6971633
0.2,1.268431822,113.0145773,185.7040552
0.21,1.267916005,113.0145773,185.710939
0.22,1.267400536,113.0145773,185.7178146
0.23,1.266885417,113.0145773,185.724682
0.24,1.266370646,113.0145773,185.731541
0.25,1.265856222,113.0145773,185.7383916
0.26,1.265342145,113.0145773,185.7452337
0.27,1.264828413,113.0145773,185.7520673
0.28,1.264315027,113.0145773,185.7588923
0.29,1.263801984,113.0145773,185.7657086
0.3,1.263289286,113.0145773,185.7725161
0.31,1.26277693,113.0145773,185.7793149
0.32,1.262264916,113.0145773,185.7861048
0.33,1.261753244,113.0145773,185.7928857
0.34,1.261241911,113.0145773,185.7996577
0.35,1.260730919,113.0145773,185.8064205
0.36,1.260220266,113.0145773,185.8131743
0.37,1.259709951,113.0145773,185.8199188
0.38,1.259199973,113.0145773,185.826654
0.39,1.258690332,113.0145773,185.83338
0.4,1.258181027,113.0145773,185.8400965
0.41,1.257672057,113.0145773,185.8468035
0.42,1.257163421,113.0145773,185.853501
0.43,1.25665512,113.0145773,185.8601889
0.44,1.256147151,113.0145773,185.8668671
0.45,1.255639514,113.0145773,185.8735356
0.46,1.255132208,113.0145773,185.8801943
0.47,1.254625234,113.0145773,185.8868431
0.48,1.254118589,113.0145773,185.8934819
0.49,1.253612273,113.0145773,185.9001108
0.5,1.253106286,113.0145773,185.9067296
0.51,1.252600627,113.0145773,185.9133382
0.52,1.252095294,113.0145773,185.9199367
0.53,1.251590289,113.0145773,185.9265249
0.54,1.251085609,113.0145773,185.9331027
0.55,1.250581255,113.0145773,185.9396701
0.56,1.250077225,113.0145773,185.9462271
0.57,1.24957352,113.0145773,185.9527735
0.58,1.249070137,113.0145773,185.9593093
0.59,1.248567077,113.0145773,185.9658344
0.6,1.24806434,113.0145773,185.9723488
0.61,1.247561923,113.0145773,185.9788523
0.62,1.247059827,113.0145773,185.985345
0.63,1.246558052,113.0145773,185.9918268
0.64,1.246056595,113.0145773,185.9982975
0.65,1.245555458,113.0145773,186.0047572
0.66,1.245054638,113.0145773,186.0112057
0.67,1.244554136,113.0145773,186.017643
0.68,1.244053951,113.0145773,186.024069
0.69,1.243554082,113.0145773,186.0304837
0.7,1.243054528,113.0145773,186.036887
0.71,1.242555289,113.0145773,186.0432788
0.72,1.242056365,113.0145773,186.0496591
0.73,1.241557753,113.0145773,186.0560277
0.74,1.241059455,113.0145773,186.0623847
0.75,1.240561469,113.0145773,186.06873
0.76,1.240063794,113.0145773,186.0750634
0.77,1.239566431,113.0145773,186.081385
