Name,Type,Stage,Parent,Mass,Length,Local_CG,Position,MOI,Sim Sec,Event 1,Event 2,Event 3,Event 4,Event 5,Event 6
Nose Cone,Airframe,1,Nose Cone,1.365313034,0.9271,0.5969,0,0.423866947,,1,1,1,,,1
Nose Tip,Other,1,Nose Cone,0.303906888,0.1016,0.0677418,0,0.010732438,,1,1,1,,,1
"G10 Cover Plate, Nose Cone",Other,1,Nose Cone,0.063502932,0.002413,0.0012065,0.670687,0.028810981,1,1,1,1,,,1
"Avionics Structure, Nose Cone",Other,1,Nose Cone,1.179340162,0.27305,0.136525,0.6731,0.860107805,1,1,1,1,,,1
Nose Cone Avionics Blades,Other,1,Nose Cone,0.45359237,0.1016,0.0508,0.6731,0.252544565,1,1,1,1,,,1
Eagle CO2 Deployment,Other,1,Nose Cone,0.222260261,0.1524,0.0762,0.79375,0.178531242,1,1,1,1,,,1
Eagle CO2 Deployment,Other,1,Nose Cone,0.222260261,0.1524,0.0762,0.79375,0.178531242,1,1,1,1,,,1
Eagle CO2 Deployment,Other,1,Nose Cone,0.222260261,0.1524,0.0762,0.79375,0.178531242,1,1,1,1,,,1
Nose Cone Coupler,Coupler,1,Nose Cone Tube,0.460849848,0.2032,0.1016,0.9017,0.491020075,1,1,1,1,,,1
Nose Cone Plate,Other,1,Nose Cone Tube,0.585134157,0.0508,0.0254,0.9017,0.513310402,1,1,1,1,,,1
"Standard Bolt Ring, NC Plate Top",Bolt Ring,1,Nose Cone,0.015875733,0.00508,0.00254,0.91186,0.013323958,1,1,1,1,,,1
Nose Cone Tube,Airframe,1,Nose Cone Tube,1.156660544,0.4318,0.2159,0.9271,1.625347192,,1,1,1,,,1
"Standard Bolt Ring, NC Plate Bottom",Bolt Ring,1,Nose Cone Tube,0.015875733,0.00508,0.00254,0.93726,0.014071652,1,1,1,1,,,1
"U-Bolt, Nose Cone Plate",Other,1,Nose Cone Tube,0.068038856,0.0762,0.0381,0.9398,0.066792783,1,1,1,1,,,1
"U-Bolt, Nose Cone Plate",Other,1,Nose Cone Tube,0.068038856,0.0762,0.0381,0.9398,0.066792783,1,1,1,1,,,1
Nose Cone Shock Cord,Other,1,Nose Cone Tube,0.45359237,0.0508,0.0254,0.95885,0.447462592,1,1,1,1,,,1
"Nose Cone Parachute, 3ft",Other,1,Nose Cone Tube,0.291206302,0.127,0.0635,1.00965,0.346943008,x,1,1,1,,,1
"Sustainer Parachute, 4ft",Other,1,Sustainer Fin Can,0.485343836,0.1651,0.08255,1.1684,0.783607445,x,1,1,1,,1,
Sustainer Coupler,Coupler,1,Sustainer Fin Can,0.518456079,0.2286,0.1143,1.1811,0.903482644,2,1,1,1,,1,
Sustainer Shear Pin Ring,Bolt Ring,1,Nose Cone Tube,0.004,0,0,1.2573,0.00632902,2,1,1,1,,1,
Sustainer Shock Cord,Other,1,Sustainer Fin Can,0.45359237,0.0508,0.0254,1.3335,0.84565371,2,1,1,1,,1,
Forged Eyebolt,Other,1,Sustainer Fin Can,0.136077711,0.127,0.0635,1.3462,0.275829867,2,1,1,1,,1,
Sustainer Fin Can,Airframe,1,Sustainer Fin Can,4.456545035,1.6637,0.83185,1.3589,20.78253607,,1,1,1,,1,
"G10 Cover Plate, Sustainer",Other,1,Sustainer Fin Can,0.063502932,0.002413,0.0012065,1.3843,0.122045184,2,1,1,1,,1,
400 mAh Batteries,Other,1,Sustainer Fin Can,0.045359237,0.0254,0.0127,1.3843,0.088966026,2,1,1,1,,1,
Sustainer Motor Mount,Other,1,Sustainer Fin Can,0.680388555,0.0508,0.0254,1.3843,1.364173732,2,1,1,1,,1,
"Standard Bolt Ring, SMM Top",Bolt Ring,1,Sustainer Fin Can,0.015875733,0.00508,0.00254,1.39446,0.031033046,2,1,1,1,,1,
Power Management Board,Other,1,Sustainer Fin Can,0.045359237,0.00762,0.00381,1.40208,0.089834129,2,1,1,1,,1,
"Standard Bolt Ring, SMM Bottom",Bolt Ring,1,Sustainer Fin Can,0.015875733,0.00508,0.00254,1.41986,0.032169952,2,1,1,1,,1,
Sustainer Motor,Motor,1,Sustainer Fin Can,15.23163178,1.580388,0.91694,1.4351,79.50162591,x,1,1,1,,1,
Sustainer Propellant,Propellant,1,Sustainer Fin Can,21.86315223,1.27635,0.638175,1.524,102.6385897,x,1,1,a,,,
